Hr Lon Lat Pmin Vmax
00 -97.31961 18.78714 993.39884 5.73851
01 -78.42604 20.86637 981.70317 20.20126
02 -80.24962 23.80652 990.30718 20.86936
03 -80.90860 23.24217 1001.86087 21.81987
04 -81.05307 23.48473 998.78668 23.58180
05 -81.07588 23.33706 1000.16969 24.19463
06 -81.23555 23.42657 998.09575 24.23875
07 -81.43578 23.51278 995.88572 24.91606
08 -81.54730 23.52911 996.07838 24.07787
09 -81.56757 23.54534 996.18428 23.50601
10 -81.61066 23.57313 995.51545 23.87283
11 -81.66262 23.69502 996.10066 23.20762
12 -81.77794 23.83767 995.41194 23.59932
13 -81.93255 23.95818 995.38961 23.41113
14 -82.09982 24.14785 996.92897 22.78920
15 -82.30512 24.35590 996.29554 23.07348
16 -82.50281 24.47245 996.11824 23.05058
17 -82.69417 24.65796 995.43806 23.54661
18 -82.88426 24.75462 995.21469 23.50600
19 -83.04647 24.94091 995.31834 23.52125
20 -83.21628 25.16238 994.26947 23.74451
21 -83.42918 25.37681 993.56627 25.07075
22 -83.60787 25.51306 993.31613 25.02722
23 -83.80682 25.67415 993.52140 25.26737
24 -83.95256 25.73476 993.36051 25.54469
25 -84.10589 25.86259 993.20816 25.59607
26 -84.26684 25.95492 993.07919 26.77154
27 -84.48100 26.07105 992.69013 26.94046
28 -84.64194 26.12887 992.25038 26.74624
29 -84.79655 26.25522 991.14022 26.65510
30 -84.93722 26.30865 990.72671 27.41850
31 -85.07535 26.38695 990.02807 27.77757
32 -85.14885 26.39388 988.51859 28.77584
33 -85.24009 26.51755 987.99504 29.33835
34 -85.30472 26.58213 987.31328 29.89285
35 -85.38963 26.66822 987.24241 29.20856
36 -85.48214 26.75989 987.08523 28.69342
37 -85.62534 26.91254 986.91539 28.53466
38 -85.75714 27.02542 987.29943 27.90142
39 -85.89653 27.13036 987.41924 27.73492
40 -86.03340 27.28354 987.34400 27.29160
41 -86.20701 27.40944 986.50153 27.91503
42 -86.38443 27.51857 986.09867 28.74678
43 -86.52890 27.62632 985.30904 29.20440
44 -86.57198 27.69827 984.10617 29.29149
45 -86.66830 27.84185 983.37867 30.58499
46 -86.74053 27.93942 982.44785 30.83356
47 -86.77855 28.09375 982.23884 32.37469
48 -86.87233 28.22330 981.39078 33.13529
49 -86.91795 28.31928 980.56894 33.72988
50 -86.93949 28.40719 980.35089 34.07764
51 -86.95850 28.58894 979.58484 34.62032
52 -87.07129 28.72668 979.17485 35.06276
53 -87.18280 28.80774 977.84822 35.36594
54 -87.20688 28.93305 977.05430 35.49388
55 -87.28545 29.10385 976.27373 35.86007
56 -87.38810 29.19926 974.78518 36.65418
57 -87.37163 29.24342 973.89417 36.87265
58 -87.42232 29.43346 972.83739 37.70069
59 -87.50342 29.45668 972.13102 36.94416
60 -87.56171 29.52288 971.49969 37.07404
61 -87.55664 29.58347 970.74345 36.77490
62 -87.64282 29.66498 970.75350 37.57292
63 -87.72519 29.72110 970.31016 37.17189
64 -87.80249 29.78388 970.17923 37.02536
65 -87.89753 29.84106 969.57169 36.45165
66 -87.94949 29.85536 969.41105 36.47630
67 -88.00398 29.97176 969.15816 36.54940
68 -88.05974 30.02667 968.48124 36.27197
69 -88.05467 30.08036 968.42135 36.32359
70 -88.09649 30.17465 968.36245 35.90031
71 -88.13071 30.19973 968.87054 35.26841
72 -88.11424 30.26220 969.13856 35.17386
73 -88.16619 30.33881 969.54545 34.71059
74 -88.19407 30.36613 970.83081 34.30542
75 -88.23209 30.43068 971.67089 33.40750
76 -88.25490 30.46998 972.80608 32.78152
77 -88.27011 30.54101 973.35598 32.12472
78 -88.29672 30.61196 974.34756 31.13279
79 -88.30813 30.67409 975.38602 30.19669
80 -88.32333 30.75366 975.85349 29.12678
81 -88.33727 30.84725 976.91246 28.51793
82 -88.34741 30.92883 977.79318 27.62353
83 -88.38036 30.98973 979.12987 27.11643
84 -88.42345 31.04840 980.24520 26.33444
